# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_charge2D
Path=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_charge2D
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
-8.000000e-01	-6.222222e-01	1.500000e+02	3.604217e+02	5.881047e-01	1.253843e-01	1.253843e-01
-8.000000e-01	-6.222222e-01	3.604217e+02	8.660254e+02	7.787719e-02	2.943481e-02	2.943481e-02
-8.000000e-01	-6.222222e-01	8.660254e+02	2.080896e+03	0.000000e+00	0.000000e+00	0.000000e+00
-8.000000e-01	-6.222222e-01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
-6.222222e-01	-4.444444e-01	1.500000e+02	3.604217e+02	1.309869e+00	1.871242e-01	1.871242e-01
-6.222222e-01	-4.444444e-01	3.604217e+02	8.660254e+02	2.002556e-01	4.720070e-02	4.720070e-02
-6.222222e-01	-4.444444e-01	8.660254e+02	2.080896e+03	2.778073e-02	1.134144e-02	1.134144e-02
-6.222222e-01	-4.444444e-01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
-4.444444e-01	-2.666667e-01	1.500000e+02	3.604217e+02	2.566276e+00	2.619195e-01	2.619195e-01
-4.444444e-01	-2.666667e-01	3.604217e+02	8.660254e+02	5.451406e-01	7.787723e-02	7.787723e-02
-4.444444e-01	-2.666667e-01	8.660254e+02	2.080896e+03	6.019162e-02	1.669415e-02	1.669415e-02
-4.444444e-01	-2.666667e-01	2.080896e+03	5.000000e+03	5.780886e-03	3.337596e-03	3.337596e-03
-2.666667e-01	-8.888889e-02	1.500000e+02	3.604217e+02	4.410785e+00	3.433791e-01	3.433791e-01
-2.666667e-01	-8.888889e-02	3.604217e+02	8.660254e+02	1.079155e+00	1.095716e-01	1.095716e-01
-2.666667e-01	-8.888889e-02	8.660254e+02	2.080896e+03	1.296434e-01	2.450030e-02	2.450030e-02
-2.666667e-01	-8.888889e-02	2.080896e+03	5.000000e+03	7.707843e-03	3.853922e-03	3.853922e-03
-8.888889e-02	8.888889e-02	1.500000e+02	3.604217e+02	6.549348e+00	4.184225e-01	4.184225e-01
-8.888889e-02	8.888889e-02	3.604217e+02	8.660254e+02	1.446291e+00	1.268481e-01	1.268481e-01
-8.888889e-02	8.888889e-02	8.660254e+02	2.080896e+03	1.759447e-01	2.854199e-02	2.854199e-02
-8.888889e-02	8.888889e-02	2.080896e+03	5.000000e+03	4.817403e-02	9.634806e-03	9.634806e-03
8.888889e-02	2.666667e-01	1.500000e+02	3.604217e+02	5.907778e+00	3.974002e-01	3.974002e-01
8.888889e-02	2.666667e-01	3.604217e+02	8.660254e+02	1.145907e+00	1.129096e-01	1.129096e-01
8.888889e-02	2.666667e-01	8.660254e+02	2.080896e+03	1.713145e-01	2.816393e-02	2.816393e-02
8.888889e-02	2.666667e-01	2.080896e+03	5.000000e+03	2.697745e-02	7.210027e-03	7.210027e-03
2.666667e-01	4.444444e-01	1.500000e+02	3.604217e+02	3.047453e+00	2.854201e-01	2.854201e-01
2.666667e-01	4.444444e-01	3.604217e+02	8.660254e+02	7.008951e-01	8.830448e-02	8.830448e-02
2.666667e-01	4.444444e-01	8.660254e+02	2.080896e+03	1.111230e-01	2.268289e-02	2.268289e-02
2.666667e-01	4.444444e-01	2.080896e+03	5.000000e+03	1.734266e-02	5.780886e-03	5.780886e-03
4.444444e-01	6.222222e-01	1.500000e+02	3.604217e+02	1.577190e+00	2.053326e-01	2.053326e-01
4.444444e-01	6.222222e-01	3.604217e+02	8.660254e+02	2.447569e-01	5.218234e-02	5.218234e-02
4.444444e-01	6.222222e-01	8.660254e+02	2.080896e+03	3.241086e-02	1.225015e-02	1.225015e-02
4.444444e-01	6.222222e-01	2.080896e+03	5.000000e+03	1.926961e-03	1.926961e-03	1.926961e-03
6.222222e-01	8.000000e-01	1.500000e+02	3.604217e+02	5.613726e-01	1.225016e-01	1.225016e-01
6.222222e-01	8.000000e-01	3.604217e+02	8.660254e+02	1.112531e-01	3.518133e-02	3.518133e-02
6.222222e-01	8.000000e-01	8.660254e+02	2.080896e+03	1.389037e-02	8.019607e-03	8.019607e-03
6.222222e-01	8.000000e-01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO2D

