# BEGIN PLOT
LegendOnly=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ncharged
DrawOnly=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ncharged
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ncharged
LineColor=red
LineStyle=solid
Path=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ncharged
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	5.700000e+01	7.549834e+00	7.549834e+00
2.000000e+00	3.000000e+00	1.250000e+02	1.118034e+01	1.118034e+01
3.000000e+00	4.000000e+00	2.240000e+02	1.496663e+01	1.496663e+01
4.000000e+00	5.000000e+00	2.640000e+02	1.624808e+01	1.624808e+01
5.000000e+00	6.000000e+00	2.740000e+02	1.655295e+01	1.655295e+01
6.000000e+00	7.000000e+00	2.280000e+02	1.509967e+01	1.509967e+01
7.000000e+00	8.000000e+00	1.810000e+02	1.345362e+01	1.345362e+01
8.000000e+00	9.000000e+00	1.440000e+02	1.200000e+01	1.200000e+01
9.000000e+00	1.000000e+01	9.800000e+01	9.899495e+00	9.899495e+00
1.000000e+01	1.100000e+01	5.900000e+01	7.681146e+00	7.681146e+00
1.100000e+01	1.200000e+01	3.500000e+01	5.916080e+00	5.916080e+00
1.200000e+01	1.300000e+01	2.000000e+01	4.472136e+00	4.472136e+00
1.300000e+01	1.400000e+01	1.700000e+01	4.123106e+00	4.123106e+00
1.400000e+01	1.500000e+01	5.000000e+00	2.236068e+00	2.236068e+00
1.500000e+01	1.600000e+01	3.000000e+00	1.732051e+00	1.732051e+00
1.600000e+01	1.700000e+01	3.000000e+00	1.732051e+00	1.732051e+00
1.700000e+01	1.800000e+01	2.000000e+00	1.414214e+00	1.414214e+00
1.800000e+01	1.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

