# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ncharged2D
Path=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ncharged2D
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
1.000000e+00	2.000000e+00	1.500000e+02	3.604217e+02	1.948468e-01	3.042996e-02	3.042996e-02
1.000000e+00	2.000000e+00	3.604217e+02	8.660254e+02	2.373400e-02	6.851417e-03	6.851417e-03
1.000000e+00	2.000000e+00	8.660254e+02	2.080896e+03	3.292532e-03	1.646266e-03	1.646266e-03
1.000000e+00	2.000000e+00	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	3.000000e+00	1.500000e+02	3.604217e+02	4.087031e-01	4.407159e-02	4.407159e-02
2.000000e+00	3.000000e+00	3.604217e+02	8.660254e+02	6.922418e-02	1.170102e-02	1.170102e-02
2.000000e+00	3.000000e+00	8.660254e+02	2.080896e+03	1.646266e-03	1.164086e-03	1.164086e-03
2.000000e+00	3.000000e+00	2.080896e+03	5.000000e+03	6.851417e-04	4.844684e-04	4.844684e-04
3.000000e+00	4.000000e+00	1.500000e+02	3.604217e+02	7.033495e-01	5.781497e-02	5.781497e-02
3.000000e+00	4.000000e+00	3.604217e+02	8.660254e+02	1.166922e-01	1.519203e-02	1.519203e-02
3.000000e+00	4.000000e+00	8.660254e+02	2.080896e+03	1.152386e-02	3.079881e-03	3.079881e-03
3.000000e+00	4.000000e+00	2.080896e+03	5.000000e+03	6.851417e-04	4.844684e-04	4.844684e-04
4.000000e+00	5.000000e+00	1.500000e+02	3.604217e+02	8.364156e-01	6.304720e-02	6.304720e-02
4.000000e+00	5.000000e+00	3.604217e+02	8.660254e+02	1.305370e-01	1.606800e-02	1.606800e-02
4.000000e+00	5.000000e+00	8.660254e+02	2.080896e+03	1.399326e-02	3.393864e-03	3.393864e-03
4.000000e+00	5.000000e+00	2.080896e+03	5.000000e+03	1.712854e-03	7.660118e-04	7.660118e-04
5.000000e+00	6.000000e+00	1.500000e+02	3.604217e+02	7.888920e-01	6.122990e-02	6.122990e-02
5.000000e+00	6.000000e+00	3.604217e+02	8.660254e+02	1.483375e-01	1.712854e-02	1.712854e-02
