# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ptD2D
Path=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ptD2D
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
3.000000e-01	3.444444e-01	1.500000e+02	3.604217e+02	1.069282e+01	1.069282e+00	1.069282e+00
3.000000e-01	3.444444e-01	3.604217e+02	8.660254e+02	2.403070e+00	3.270164e-01	3.270164e-01
3.000000e-01	3.444444e-01	8.660254e+02	2.080896e+03	2.778076e-01	7.172962e-02	7.172962e-02
3.000000e-01	3.444444e-01	2.080896e+03	5.000000e+03	6.937067e-02	2.312356e-02	2.312356e-02
3.444444e-01	3.888889e-01	1.500000e+02	3.604217e+02	1.464914e+01	1.251560e+00	1.251560e+00
3.444444e-01	3.888889e-01	3.604217e+02	8.660254e+02	3.248588e+00	3.802184e-01	3.802184e-01
3.444444e-01	3.888889e-01	8.660254e+02	2.080896e+03	5.370936e-01	9.973577e-02	9.973577e-02
3.444444e-01	3.888889e-01	2.080896e+03	5.000000e+03	1.310332e-01	3.178022e-02	3.178022e-02
3.888889e-01	4.333333e-01	1.500000e+02	3.604217e+02	1.732238e+01	1.360974e+00	1.360974e+00
3.888889e-01	4.333333e-01	3.604217e+02	8.660254e+02	4.450130e+00	4.450130e-01	4.450130e-01
3.888889e-01	4.333333e-01	8.660254e+02	2.080896e+03	5.741358e-01	1.031178e-01	1.031178e-01
3.888889e-01	4.333333e-01	2.080896e+03	5.000000e+03	4.624711e-02	1.888031e-02	1.888031e-02
4.333333e-01	4.777778e-01	1.500000e+02	3.604217e+02	1.860547e+01	1.410477e+00	1.410477e+00
4.333333e-01	4.777778e-01	3.604217e+02	8.660254e+02	3.248588e+00	3.802184e-01	3.802184e-01
4.333333e-01	4.777778e-01	8.660254e+02	2.080896e+03	5.000526e-01	9.623517e-02	9.623517e-02
4.333333e-01	4.777778e-01	2.080896e+03	5.000000e+03	5.395484e-02	2.039301e-02	2.039301e-02
4.777778e-01	5.222222e-01	1.500000e+02	3.604217e+02	1.251060e+01	1.156606e+00	1.156606e+00
4.777778e-01	5.222222e-01	3.604217e+02	8.660254e+02	2.403070e+00	3.270164e-01	3.270164e-01
4.777778e-01	5.222222e-01	8.660254e+02	2.080896e+03	3.518897e-01	8.072903e-02	8.072903e-02
4.777778e-01	5.222222e-01	2.080896e+03	5.000000e+03	3.853926e-02	1.723528e-02	1.723528e-02
5.222222e-01	5.666667e-01	1.500000e+02	3.604217e+02	9.409664e+00	1.003074e+00	1.003074e+00
5.222222e-01	5.666667e-01	3.604217e+02	8.660254e+02	2.091556e+00	3.050849e-01	3.050849e-01
5.222222e-01	5.666667e-01	8.660254e+02	2.080896e+03	2.592865e-01	6.929725e-02	6.929725e-02
5.222222e-01	5.666667e-01	2.080896e+03	5.000000e+03	5.395484e-02	2.039301e-02	2.039301e-02
5.666667e-01	6.111111e-01	1.500000e+02	3.604217e+02	5.987982e+00	8.001777e-01	8.001777e-01
5.666667e-01	6.111111e-01	3.604217e+02	8.660254e+02	1.246036e+00	2.354788e-01	2.354788e-01
5.666667e-01	6.111111e-01	8.660254e+02	2.080896e+03	1.481641e-01	5.238391e-02	5.238391e-02
5.666667e-01	6.111111e-01	2.080896e+03	5.000000e+03	7.707852e-03	7.707852e-03	7.707852e-03
6.111111e-01	6.555556e-01	1.500000e+02	3.604217e+02	4.918688e+00	7.252210e-01	7.252210e-01
6.111111e-01	6.555556e-01	3.604217e+02	8.660254e+02	8.455228e-01	1.939762e-01	1.939762e-01
6.111111e-01	6.555556e-01	8.660254e+02	2.080896e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.111111e-01	6.555556e-01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.555556e-01	7.000000e-01	1.500000e+02	3.604217e+02	3.207847e+00	5.856701e-01	5.856701e-01
6.555556e-01	7.000000e-01	3.604217e+02	8.660254e+02	3.560104e-01	1.258687e-01	1.258687e-01
6.555556e-01	7.000000e-01	8.660254e+02	2.080896e+03	3.704102e-02	2.619196e-02	2.619196e-02
6.555556e-01	7.000000e-01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO2D

