# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_tau202D
Path=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_tau202D
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
-3.500000e+00	-3.214286e+00	1.500000e+02	3.604217e+02	1.064530e+00	1.330663e-01	1.330663e-01
-3.500000e+00	-3.214286e+00	3.604217e+02	8.660254e+02	3.184315e-01	4.695017e-02	4.695017e-02
-3.500000e+00	-3.214286e+00	8.660254e+02	2.080896e+03	3.745259e-02	1.038748e-02	1.038748e-02
-3.500000e+00	-3.214286e+00	2.080896e+03	5.000000e+03	2.397998e-03	1.695641e-03	1.695641e-03
-3.214286e+00	-2.928571e+00	1.500000e+02	3.604217e+02	1.646689e+00	1.654985e-01	1.654985e-01
-3.214286e+00	-2.928571e+00	3.604217e+02	8.660254e+02	2.976632e-01	4.539321e-02	4.539321e-02
-3.214286e+00	-2.928571e+00	8.660254e+02	2.080896e+03	6.626204e-02	1.381659e-02	1.381659e-02
-3.214286e+00	-2.928571e+00	2.080896e+03	5.000000e+03	1.438794e-02	4.153441e-03	4.153441e-03
-2.928571e+00	-2.642857e+00	1.500000e+02	3.604217e+02	1.813028e+00	1.736566e-01	1.736566e-01
-2.928571e+00	-2.642857e+00	3.604217e+02	8.660254e+02	4.568800e-01	5.623804e-02	5.623804e-02
-2.928571e+00	-2.642857e+00	8.660254e+02	2.080896e+03	6.914324e-02	1.411380e-02	1.411380e-02
-2.928571e+00	-2.642857e+00	2.080896e+03	5.000000e+03	7.193995e-03	2.936936e-03	2.936936e-03
-2.642857e+00	-2.357143e+00	1.500000e+02	3.604217e+02	2.345293e+00	1.975093e-01	1.975093e-01
-2.642857e+00	-2.357143e+00	3.604217e+02	8.660254e+02	4.499576e-01	5.581037e-02	5.581037e-02
-2.642857e+00	-2.357143e+00	8.660254e+02	2.080896e+03	3.457162e-02	9.979966e-03	9.979966e-03
-2.642857e+00	-2.357143e+00	2.080896e+03	5.000000e+03	4.795997e-03	2.397998e-03	2.397998e-03
-2.357143e+00	-2.071429e+00	1.500000e+02	3.604217e+02	2.262126e+00	1.939757e-01	1.939757e-01
-2.357143e+00	-2.071429e+00	3.604217e+02	8.660254e+02	4.430352e-01	5.537940e-02	5.537940e-02
-2.357143e+00	-2.071429e+00	8.660254e+02	2.080896e+03	3.169065e-02	9.555090e-03	9.555090e-03
-2.357143e+00	-2.071429e+00	2.080896e+03	5.000000e+03	7.193995e-03	2.936936e-03	2.936936e-03
-2.071429e+00	-1.785714e+00	1.500000e+02	3.604217e+02	1.879554e+00	1.768136e-01	1.768136e-01
-2.071429e+00	-1.785714e+00	3.604217e+02	8.660254e+02	3.253528e-01	4.745759e-02	4.745759e-02
-2.071429e+00	-1.785714e+00	8.660254e+02	2.080896e+03	3.745245e-02	1.038744e-02	1.038744e-02
-2.071429e+00	-1.785714e+00	2.080896e+03	5.000000e+03	5.994975e-03	2.681034e-03	2.681034e-03
-1.785714e+00	-1.500000e+00	1.500000e+02	3.604217e+02	1.796394e+00	1.728581e-01	1.728581e-01
-1.785714e+00	-1.500000e+00	3.604217e+02	8.660254e+02	2.492073e-01	4.153455e-02	4.153455e-02
-1.785714e+00	-1.500000e+00	8.660254e+02	2.080896e+03	2.304775e-02	8.148608e-03	8.148608e-03
-1.785714e+00	-1.500000e+00	2.080896e+03	5.000000e+03	3.596998e-03	2.076728e-03	2.076728e-03
# END HISTO2D

